,subject,block,clf,nth_letter,correct,correct_sofar,auc,sample_rate,ntime_features,letter_memory,lowpass
0,1,1,slda,1,False,0,0.701923076923077,100,66,inf,8
1,1,1,toep_lda,1,False,0,0.7211538461538461,100,66,inf,8
2,1,1,slda,2,False,0,0.6634615384615384,100,66,inf,8
3,1,1,toep_lda,2,True,1,0.7716346153846154,100,66,inf,8
4,1,1,slda,3,False,0,0.7211538461538463,100,66,inf,8
5,1,1,toep_lda,3,False,1,0.7259615384615384,100,66,inf,8
6,1,1,slda,4,False,0,0.6322115384615384,100,66,inf,8
7,1,1,toep_lda,4,False,1,0.6766826923076923,100,66,inf,8
8,1,1,slda,5,True,1,0.7896634615384616,100,66,inf,8
9,1,1,toep_lda,5,True,2,0.8064903846153846,100,66,inf,8
10,1,1,slda,6,False,1,0.7391826923076923,100,66,inf,8
11,1,1,toep_lda,6,True,3,0.828125,100,66,inf,8
12,1,1,slda,7,True,2,0.7439903846153846,100,66,inf,8
13,1,1,toep_lda,7,True,4,0.765625,100,66,inf,8
14,1,1,slda,8,False,2,0.6358173076923077,100,66,inf,8
15,1,1,toep_lda,8,True,5,0.8497596153846154,100,66,inf,8
16,1,1,slda,9,True,3,0.7283653846153846,100,66,inf,8
17,1,1,toep_lda,9,True,6,0.8978365384615384,100,66,inf,8
18,1,1,slda,10,False,3,0.6682692307692308,100,66,inf,8
19,1,1,toep_lda,10,True,7,0.9002403846153846,100,66,inf,8
20,1,1,slda,11,True,4,0.796875,100,66,inf,8
21,1,1,toep_lda,11,True,8,0.8858173076923076,100,66,inf,8
22,1,1,slda,12,False,4,0.6454326923076923,100,66,inf,8
23,1,1,toep_lda,12,True,9,0.8100961538461539,100,66,inf,8
24,1,1,slda,13,True,5,0.8413461538461537,100,66,inf,8
25,1,1,toep_lda,13,True,10,0.9543269230769231,100,66,inf,8
26,1,1,slda,14,False,5,0.6899038461538463,100,66,inf,8
27,1,1,toep_lda,14,True,11,0.8725961538461537,100,66,inf,8
28,1,1,slda,15,True,6,0.8329326923076923,100,66,inf,8
29,1,1,toep_lda,15,True,12,0.9338942307692308,100,66,inf,8
30,1,1,slda,16,True,7,0.860576923076923,100,66,inf,8
31,1,1,toep_lda,16,True,13,0.9771634615384616,100,66,inf,8
32,1,1,slda,17,True,8,0.8557692307692307,100,66,inf,8
33,1,1,toep_lda,17,True,14,0.9074519230769231,100,66,inf,8
34,1,1,slda,18,True,9,0.9050480769230769,100,66,inf,8
35,1,1,toep_lda,18,True,15,0.9927884615384616,100,66,inf,8
36,1,1,slda,19,True,10,0.8629807692307693,100,66,inf,8
37,1,1,toep_lda,19,True,16,0.9771634615384615,100,66,inf,8
38,1,1,slda,20,False,10,0.8185096153846154,100,66,inf,8
39,1,1,toep_lda,20,True,17,0.9891826923076924,100,66,inf,8
40,1,1,slda,21,True,11,0.876201923076923,100,66,inf,8
41,1,1,toep_lda,21,True,18,0.9651442307692307,100,66,inf,8
42,1,1,slda,22,True,12,0.8004807692307693,100,66,inf,8
