,subject,block,clf,nth_letter,correct,correct_sofar,auc,earliest_correct,first_valid,num_target_flashes,mandatory_target_flashes,sample_rate,ntime_features,letter_memory,lowpass,early_stop_sim,postfix_sim
0,1,1,slda,1,True,1,0.7379807692307693,68,4,16,1,40,27,inf,8,False,False
1,1,1,toep_lda,1,True,1,0.7560096153846154,60,4,14,1,40,27,inf,8,False,False
2,1,1,slda,2,False,1,0.6959134615384615,,4,,1,40,27,inf,8,False,False
3,1,1,toep_lda,2,False,1,0.7343750000000001,,4,,1,40,27,inf,8,False,False
4,1,1,slda,3,False,1,0.7127403846153846,,7,,2,40,27,inf,8,False,False
5,1,1,toep_lda,3,True,2,0.7932692307692307,68,7,16,2,40,27,inf,8,False,False
6,1,1,slda,4,True,2,0.8245192307692308,34,9,8,1,40,27,inf,8,False,False
7,1,1,toep_lda,4,True,3,0.8978365384615384,27,9,6,1,40,27,inf,8,False,False
8,1,1,slda,5,True,3,0.7956730769230769,50,5,12,2,40,27,inf,8,False,False
9,1,1,toep_lda,5,True,4,0.8798076923076923,8,5,2,2,40,27,inf,8,False,False
10,1,1,slda,6,True,4,0.8810096153846153,27,6,6,1,40,27,inf,8,False,False
11,1,1,toep_lda,6,True,5,0.9879807692307692,10,6,2,1,40,27,inf,8,False,False
12,1,1,slda,7,True,5,0.7740384615384616,61,6,15,1,40,27,inf,8,False,False
13,1,1,toep_lda,7,True,6,0.9146634615384616,12,6,2,1,40,27,inf,8,False,False
14,1,1,slda,8,True,6,0.7788461538461539,19,5,4,2,40,27,inf,8,False,False
15,1,1,toep_lda,8,True,7,0.9038461538461539,19,5,4,2,40,27,inf,8,False,False
16,1,1,slda,9,False,6,0.6971153846153847,,6,,2,40,27,inf,8,False,False
17,1,1,toep_lda,9,True,8,0.875,24,6,5,2,40,27,inf,8,False,False
18,1,1,slda,10,True,7,0.8786057692307693,28,5,7,2,40,27,inf,8,False,False
19,1,1,toep_lda,10,True,9,0.9579326923076923,9,5,2,2,40,27,inf,8,False,False
20,1,1,slda,11,True,8,0.78125,66,6,16,2,40,27,inf,8,False,False
21,1,1,toep_lda,11,True,10,0.9134615384615384,25,6,5,2,40,27,inf,8,False,False
22,1,1,slda,12,False,8,0.7079326923076923,,10,,1,40,27,inf,8,False,False
23,1,1,toep_lda,12,True,11,0.859375,17,10,4,1,40,27,inf,8,False,False
24,1,1,slda,13,True,9,0.8473557692307692,24,5,5,1,40,27,inf,8,False,False
25,1,1,toep_lda,13,True,12,0.9651442307692307,20,5,4,1,40,27,inf,8,False,False
26,1,1,slda,14,True,10,0.8966346153846154,28,7,8,1,40,27,inf,8,False,False
27,1,1,toep_lda,14,True,13,0.9855769230769231,25,7,7,1,40,27,inf,8,False,False
28,1,1,slda,15,True,11,0.8221153846153847,28,5,7,1,40,27,inf,8,False,False
29,1,1,toep_lda,15,True,14,0.9206730769230769,24,5,6,1,40,27,inf,8,False,False
30,1,1,slda,16,True,12,0.8870192307692308,38,8,9,2,40,27,inf,8,False,False
31,1,1,toep_lda,16,True,15,0.9819711538461539,19,8,5,2,40,27,inf,8,False,False
32,1,1,slda,17,True,13,0.9134615384615384,10,9,2,1,40,27,inf,8,False,False
33,1,1,toep_lda,17,True,16,0.9915865384615384,13,9,3,1,40,27,inf,8,False,False
34,1,1,slda,18,True,14,0.8064903846153846,49,7,12,2,40,27,inf,8,False,False
35,1,1,toep_lda,18,True,17,0.9507211538461539,8,7,2,2,40,27,inf,8,False,False
36,1,1,slda,19,True,15,0.8341346153846154,55,7,14,1,40,27,inf,8,False,False
37,1,1,toep_lda,19,True,18,0.96875,11,7,2,1,40,27,inf,8,False,False
38,1,1,slda,20,True,16,0.875,30,6,8,1,40,27,inf,8,False,False
39,1,1,toep_lda,20,True,19,0.9747596153846153,16,6,4,1,40,27,inf,8,False,False
40,1,1,slda,21,True,17,0.8605769230769231,51,6,13,1,40,27,inf,8,False,False
41,1,1,toep_lda,21,True,20,0.9483173076923077,17,6,5,1,40,27,inf,8,False,False
42,1,1,slda,22,True,18,0.7175480769230769,63,9,16,0,40,27,inf,8,False,False
43,1,1,toep_lda,22,True,21,0.954326923076923,10,9,1,0,40,27,inf,8,False,False
44,1,1,slda,23,False,18,0.7151442307692308,,6,,2,40,27,inf,8,False,False
45,1,1,toep_lda,23,True,22,0.9338942307692307,13,6,4,2,40,27,inf,8,False,False
46,1,1,slda,24,True,19,0.875,25,7,6,1,40,27,inf,8,False,False
